,District name,OutcomeRatePct
537,Lebanon School District,66.883469
538,Lebanon School District,64.220323
539,Lebanon School District,72.525297
540,Ledyard School District,86.848882
541,Ledyard School District,73.092959
542,Ledyard School District,75.983145
543,Ledyard School District,72.761258
544,Ledyard School District,53.822169
545,Lisbon School District,73.92675
546,Litchfield School District,81.723645
547,Litchfield School District,85.312001
548,Litchfield School District,77.580878
549,Litchfield School District,75.64944
550,Madison School District,88.430297
551,Madison School District,86.88352
552,Madison School District,94.666309
553,Madison School District,95.263552
554,Madison School District,81.507654
555,Manchester School District,62.634631
556,Manchester School District,73.218038
557,Manchester School District,56.337679
558,Manchester School District,69.897937
559,Manchester School District,42.163346
560,Manchester School District,65.377269
561,Manchester School District,61.307272
562,Manchester School District,47.88011
563,Manchester School District,51.308829
564,Manchester School District,66.207894
565,Mansfield School District,70.695643
566,Mansfield School District,8.792271
567,Mansfield School District,69.186578
568,Marlborough School District,74.682537
569,Meriden School District,74.334552
570,Meriden School District,72.154474
571,Meriden School District,62.077509
572,Meriden School District,63.496854
573,Meriden School District,72.145341
574,Meriden School District,78.91001
575,Meriden School District,71.610945
576,Meriden School District,55.014378
577,Meriden School District,75.672981
578,Meriden School District,60.140927
579,Meriden School District,68.473674
580,Meriden School District,73.828815
581,Meriden School District,53.141852
582,Middletown School District,49.962017
583,Middletown School District,58.360409
584,Middletown School District,54.498275
585,Middletown School District,63.265148
586,Middletown School District,65.360525
587,Middletown School District,65.766393
588,Middletown School District,76.67866
589,Middletown School District,62.603683
590,Middletown School District,57.491546
591,Middletown School District,70.784445
592,Milford School District,69.10501
593,Milford School District,66.463168
594,Milford School District,72.265564
595,Milford School District,64.412617
596,Milford School District,72.554988
597,Milford School District,75.112729
598,Milford School District,61.249598
599,Milford School District,72.419134
600,Milford School District,71.298368
601,Milford School District,68.707959
602,Milford School District,67.746363
603,Milford School District,76.487665
604,Milford School District,56.58354
605,Monroe School District,78.179577
606,Monroe School District,70.161994
607,Monroe School District,79.955559
608,Monroe School District,75.171186
609,Monroe School District,82.35155
610,Montville School District,75.107693
611,Montville School District,62.375761
612,Montville School District,68.572102
613,Montville School District,76.279614
614,Montville School District,79.516748
615,Naugatuck School District,68.408103
616,Naugatuck School District,52.230964
617,Naugatuck School District,62.512523
618,Naugatuck School District,52.331818
619,Naugatuck School District,63.910563
620,Naugatuck School District,69.80656
621,Naugatuck School District,60.443736
622,Naugatuck School District,64.631287
623,Naugatuck School District,72.247495
624,New Britain School District,48.026299
625,New Britain School District,50.080893
626,New Britain School District,60.481148
627,New Britain School District,58.05868
628,New Britain School District,84.646037
629,New Britain School District,44.657096
630,New Britain School District,56.476176
631,New Britain School District,55.332563
632,New Britain School District,56.275967
633,New Britain School District,40.664375
634,New Britain School District,48.547505
635,New Britain School District,49.105181
636,New Britain School District,63.142449
637,New Britain School District,61.45944
638,New Canaan School District,85.930912
639,New Canaan School District,90.506978
640,New Canaan School District,79.42796
641,New Canaan School District,93.729063
642,New Canaan School District,88.283155
643,New Fairfield School District,29.038662
644,New Fairfield School District,74.518417
645,New Fairfield School District,79.409931
646,New Fairfield School District,66.834867
647,New Hartford School District,69.796913
648,New Hartford School District,93.333333
649,New Hartford School District,45.438596
650,New Haven School District,51.416823
651,New Haven School District,61.217344
652,New Haven School District,48.016918
653,New Haven School District,53.124921
654,New Haven School District,49.209044
655,New Haven School District,46.482401
656,New Haven School District,47.700153
657,New Haven School District,53.186114
658,New Haven School District,53.513606
659,New Haven School District,48.490251
660,New Haven School District,43.676374
661,New Haven School District,62.974835
662,New Haven School District,52.663124
663,New Haven School District,50.219342
664,New Haven School District,54.718968
665,New Haven School District,72.583863
666,New Haven School District,53.030011
667,New Haven School District,53.761833
668,New Haven School District,52.55603
669,New Haven School District,40.083779
670,New Haven School District,59.045986
